metric,table
price_usd,asset_prices_v3
price_btc,asset_prices_v3
marketcap_usd,asset_prices_v3
volume_usd,asset_prices_v3
eth2_roi,intraday_label_based_metrics
eth2_staked_address_count_per_label,eth2_staking_transfers_v2
eth2_staked_amount_per_label,eth2_staking_transfers_v2
eth2_staker_count,intraday_metrics
eth2_staking_pools,eth2_staking_transfers_v2
eth2_staking_pools_usd,eth2_staking_transfers_v2
eth2_staking_pools_validators_count_over_time,eth2_staking_transfers_v2
eth2_staking_pools_validators_count_over_time_delta,eth2_staking_transfers_v2
eth2_top_stakers,eth2_staking_transfers_v2
eth2_unlabeled_staker_inflow_sources,eth2_staking_transfers_v2
eth_based_trade_amount_by_dex,intraday_label_based_metrics
eth_based_trade_volume_by_dex,intraday_label_based_metrics
eth_trade_volume_by_token,intraday_label_based_metrics
exchange_balance,intraday_metrics
exchange_balance_change_1d,intraday_metrics
exchange_balance_change_30d,intraday_metrics
exchange_balance_change_7d,intraday_metrics
exchange_inflow,intraday_metrics
exchange_inflow_change_1d,intraday_metrics
exchange_inflow_change_30d,intraday_metrics
exchange_inflow_change_7d,intraday_metrics
exchange_inflow_usd,intraday_metrics
exchange_inflow_usd_change_1d,intraday_metrics
exchange_inflow_usd_change_30d,intraday_metrics
exchange_inflow_usd_change_7d,intraday_metrics
exchange_outflow,intraday_metrics
exchange_outflow_change_1d,intraday_metrics
exchange_outflow_change_30d,intraday_metrics
exchange_outflow_change_7d,intraday_metrics
exchange_outflow_usd,intraday_metrics
exchange_outflow_usd_change_1d,intraday_metrics
exchange_outflow_usd_change_30d,intraday_metrics
exchange_outflow_usd_change_7d,intraday_metrics
exchange_token_supply,daily_metrics_v2
fees,daily_metrics_v2
fees_intraday,intraday_metrics
fees_to_network_circulation_usd_1d,daily_metrics_v2
fees_usd,daily_metrics_v2
fees_usd_intraday,intraday_metrics
ftx_funding_rates,intraday_metrics
ftx_open_interest,intraday_metrics
genesis_balance,intraday_metrics
genesis_exchange_balance,intraday_metrics
genesis_to_exchanges_flow,intraday_metrics
holders_distribution_1e_3,daily_metrics_v2
holders_distribution_all,daily_metrics_v2
labeled_balance,labeled_intraday_metrics
makerdao_bite_keeper_balance,intraday_metrics
makerdao_cdp_owner_balance,intraday_metrics
marketcap_usd_change_1d,intraday_metrics
marketcap_usd_change_30d,intraday_metrics
marketcap_usd_change_7d,intraday_metrics
mcd_art_liquidation_5m,intraday_metrics
mcd_debt,intraday_metrics
mcd_debt_created_5m,intraday_metrics
mcd_debt_repaid_5m,intraday_metrics
mcd_dsr,daily_metrics_v2
mcd_locked_token,daily_metrics_v2
mcd_stability_fee,daily_metrics_v2
mean_realized_price_usd_10y,daily_metrics_v2
median_fees_usd,daily_metrics_v2
median_fees_usd_intraday,intraday_metrics
median_transfer_5min,intraday_metrics
miner_supply,daily_metrics_v2
miners_balance,intraday_metrics
miners_exchange_balance,intraday_metrics
miners_to_exchanges_flow,intraday_metrics
mvrv_usd_20y,daily_metrics_v2
mvrv_z,daily_metrics_v2
